fid,Facility,X,Y,Province,Hydro_MW,NHN_Work_U,GRanD_ID,HydroLAKES_ID,GINDEX,GINDEX_CONUS,Basin_Note,WECC_ADS_2032,Intake_Flow_Rate,Type,Water_License
1,Aberfeldie,-115.3624796,49.49349031,British Columbia,24,08NGB00,,973345,7253,91021,CRB,,38.5,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44980356
2,Akolkolex,-118.0295293,50.8227167,British Columbia,10,08NE002,,,11104,96104,CRB,X,,,
6,Arrow Lakes,-117.7688492,49.3430244,British Columbia,185,08NEA00,282,698,6529,90073,CRB,,1200.63232,impoundment,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44984631
7,Ash River,-125.1506288,49.373363,British Columbia,28,08HB001,31,101239,6822,,,,15.49988,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981312
8,Ashlu Creek,-123.3250321,49.9143383,British Columbia,49.9,08GABX1,,,8244,,,,28.99994,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=99052753
9,Barr Creek,-126.760236,49.9278142,British Columbia,4.4,08HE0X1,,,8217,,,,3.65012,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=96784447
10,Barrier,-115.0410425,51.03427356,Alberta,13,05BF000,258,96847,11127,,,,34,reservoir?,https://avw.alberta.ca/pdf/00080706-00-00.pdf
13,Bearspaw,-114.2823152,51.1012345,Alberta,17,05BH000,,,11836,,,,164,run-of-river,https://avw.alberta.ca/pdf/00080707-00-00.pdf
14,Belly River,-113.5743066,49.3150349,Alberta,3,05AD000,284,101569,6562,,,X,,,
15,Big Silver Creek,-121.859203,49.693269,British Columbia,40.6,08MG0X2,,,7553,,,,44,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PosseMenuName=WS_Main
16,Bighorn,-116.3244505,52.3081136,Alberta,120,05DC000,249,7243,14989,,,,155.8,impoundment,https://avw.alberta.ca/pdf/00080709-00-00.pdf
19,Bone Creek,-119.1808297,52.2553296,British Columbia,19,08LB002,,,14967,,,,14.82101,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44979843
20,Bonnington Falls,-117.4854103,49.4582019,British Columbia,16.2,08NHA00,,974194,6884,90540,CRB,X,,,
21,Boston Bar,-121.4584751,49.8113434,British Columbia,9,08MF001,,,7907,,,,4.16993,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44989601
23,Brandywine Creek,-123.1312021,50.0579468,British Columbia,8,08GABX1,,,8598,,,,4,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982007
24,Brazeau,-115.3753924,52.910127,Alberta,355,05DD000,246,7035,16756,,,,340,reservoir,https://avw.alberta.ca/pdf/00080708-00-00.pdf
25,Bridge River 1,-122.2400375,50.7298504,British Columbia,180,08MEAX0,20,7693,10717,,,,64.99696,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=52372984
26,Bridge River 2,-122.2434031,50.7231283,British Columbia,298,08MEAX0,20,7693,10717,,,,94.9504,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=52729792
27,Brilliant,-117.6206529,49.3248798,British Columbia,140,08NHA00,283,101571,6883,90539,CRB,,610.51021,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44984064
28,Brilliant Expansion 1,-117.6197926,49.3231182,British Columbia,120,08NHA00,283,101571,6883,90539,CRB,,554.15978,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44984064
29,Brown Lake,-129.8436439,54.02714488,British Columbia,7.2,08EGBX1,,85150,19808,,X,,,,
34,Cascade,-115.502093,51.2001858,Alberta,36,05BD000,255,7547,12180,,,,,reservoir,X
38,Cheakamus,-123.2911096,49.93362215,British Columbia,158,08GABX1,26,100033,8599,,,,65.58737,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44984485
40,Chin Hydro Plant,-112.3445726,49.6755727,Alberta,11,05AG000,277,8032,7629,,,,,reservoir,X
41,China Creek,-124.7394651,49.1856055,British Columbia,6.5,08HB001,,,6122,,,,5.19896,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981506
43,Clowhom,-123.5321081,49.7109333,British Columbia,33,08GB0X1,29,100726,7892,,,,100.01494,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981384
44,Corra Linn,-117.46863,49.4688768,British Columbia,51,08NHA00,279,696,6884,90540,CRB,,356.79168,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71657860
46,Cypress Creek,-126.1276611,49.8427485,British Columbia,2.8,08HE0X1,,,7870,,,,2.3,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=64910478
47,Dickson Dam,-114.2229065,52.0527307,Alberta,15,05CB000,251,7304,14301,,,,84,reservoir,https://avw.alberta.ca/pdf/00028209-00-00.pdf
50,Douglas Creek,-122.1509539,49.7675628,British Columbia,27,08MG0X2,,,7902,,,,11.10019,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62472050
51,East Toba,-123.9602757,50.6750808,British Columbia,123,08GC0X0,,,10001,,,,30.69541,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=61726681
52,East Twin,-120.3833946,53.4581362,British Columbia,2,08KA0X1,,,18476,,,,3.79445,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45000077
53,Eldorado Reservoir,-119.3589375,50.0190151,British Columbia,1.1,08NM000,,,8629,92845,CRB,,0.77022,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45048150
54,Elko,-115.0999046,49.28070981,British Columbia,12,08NGB00,,,6551,90095,CRB,,25.48512,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982126
55,Fire Creek,-122.2346636,49.7833633,British Columbia,23,08MG001,,,8253,,,,10.50553,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44980777
56,Fitzsimmons Creek,-122.9456811,50.10607097,British Columbia,7.5,08MG001,,,8601,,,,4.00003,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62798434
57,Forrest Kerr,-130.6874143,56.71722045,British Columbia,195,08CG002,,,27194,,X,,,,
59,Furry Creek,-123.2019765,49.5792879,British Columbia,10,08GABX1,,,7190,,,,3.99623,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981436
60,G.M. Shrum,-122.1957438,56.014797,British Columbia,2730,07FA000,6,40,25502,,X,,,,
61,Ghost,-114.7078411,51.2187969,Alberta,51,05BE000,256,7558,11834,,,,217.3,impoundment,https://avw.alberta.ca/pdf/00080704-00-00.pdf
69,Hluey Lake (SNP),-130.2562295,58.3547361,British Columbia,3,08CB002,,707415,31774,,X,X,,,
70,Horseshoe,-115.0342818,51.118023,Alberta,14,05BE000,,,11479,,,,,run-of-river,X
72,Hystad,-119.3523966,52.8412708,British Columbia,6,08KA002,,,16723,,,,2.01049,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44983444
74,Interlakes,-115.1392363,50.6334667,Alberta,5,05BF000,264,98207,10070,,,,18.4,reservoir,https://avw.alberta.ca/pdf/00044609-00-00.pdf
75,John Hart,-125.3110158,50.04397155,British Columbia,126,08HD001,23,99873,8580,,,,124,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=66829841
76,Jordan River,-124.0522509,48.4296554,British Columbia,170,08HA0X2,46,991826,4368,,,,81.17294,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982344
77,Kananaskis,-115.0582473,51.0969111,Alberta,19,05BE000,,,11479,,,,,run-of-river,X
78,Kemano,-127.9425558,53.5631714,British Columbia,896,08FE0X2,15,591,18440,,X,,,,
81,Kokish River,-126.8755109,50.5198571,British Columbia,45,08HF0X4,,98726,9625,,,,25,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=72746646
82,Kootenay Canal,-117.5178965,49.4532579,British Columbia,570,08NHA00,279,696,6884,90540,CRB,,894.814,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=52950570
84,Kwoiek Creek,-121.5671347,50.1050634,British Columbia,49.9,08MF001,,,8962,,,,13.5,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=88032060
85,Ladore Falls,-125.3930169,50.0173147,British Columbia,47,08HD001,24,7952,8579,,,,83.95,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=143234482
86,Lajoie,-122.8558899,50.8397204,British Columbia,25,08MEAX0,19,7676,10712,,,,50.63856,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=52738871
87,Lamont Creek,-122.3445983,49.5689623,British Columbia,27,08MHBX1,,,7549,,,,8.69326,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65753069
89,Long Lake,-130.0184949,56.0623137,British Columbia,31,08DBD00,,775026,25792,,X,,,,
90,Lower Bear,-123.5159238,49.748008,British Columbia,10,08GB0X1,,,7891,,,,7.90039,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44979535
91,Lower Bonnington,-117.5004247,49.4617089,British Columbia,54,08NHA00,,974151,6884,90540,CRB,,294.49472,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71657016
92,Lower Clowhom,-123.3973405,49.8176064,British Columbia,11,08GB0X1,,,7893,,,,14.838,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=64027466
